sample_date,weeks,sample_id,nutrients,concentration,rolling_average
1989-09-20,38,Q1,ca,NA,3.939
1989-09-22,38,Q1,ca,3.88,3.939
1989-09-26,39,Q1,ca,3.93,4.265
1989-09-26,39,Q1,ca,3.9,4.265
1989-10-03,40,Q1,ca,4.24,4.227
1989-10-05,40,Q1,ca,NA,4.227
1989-10-10,41,Q1,ca,4.31,4.182727272727273
1989-10-17,42,Q1,ca,4.42,4.1909090909090905
1989-10-24,43,Q1,ca,4.48,4.2290909090909095
1989-10-31,44,Q1,ca,4.14,4.421
1989-11-07,45,Q1,ca,4.25,4.566
1989-11-08,45,Q1,ca,4.24,4.566
1989-11-14,46,Q1,ca,4.31,4.726
1989-11-21,47,Q1,ca,4.3,4.888
1989-11-28,48,Q1,ca,5.52,5.118
1989-12-05,49,Q1,ca,5.69,5.219
1989-12-12,50,Q1,ca,5.91,5.511111111111111
1989-12-19,51,Q1,ca,6.04,5.713333333333334
1989-12-26,52,Q1,ca,6.78,5.8566666666666665
1990-01-02,1,Q1,ca,5.15,5.911111111111111
1990-01-09,2,Q1,ca,5.9,5.947777777777778
1990-01-16,3,Q1,ca,6.13,5.958888888888889
1990-01-23,4,Q1,ca,5.59,5.937777777777778
1990-01-30,5,Q1,ca,6.01,5.847777777777778
1990-02-06,6,Q1,ca,6.02,5.952222222222222
1990-02-13,7,Q1,ca,6.01,5.635555555555555
1990-02-20,8,Q1,ca,5.85,5.5744444444444445
1990-02-27,9,Q1,ca,5.97,5.546666666666667
1990-03-06,10,Q1,ca,6.09,5.4944444444444445
1990-03-13,11,Q1,ca,3.05,5.475555555555555
1990-03-20,12,Q1,ca,5.58,5.453333333333333
1990-03-27,13,Q1,ca,5.34,4.291538461538462
1990-04-03,14,Q1,ca,5.54,4.291538461538462
1990-04-10,15,Q1,ca,5.85,4.1207142857142856
1990-04-17,16,Q1,ca,5.81,4.29
1990-04-24,17,Q1,ca,5.96,4.308571428571429
1990-04-25,17,Q1,ca,0.66,4.308571428571429
1990-04-25,17,Q1,ca,0.88,4.308571428571429
1990-04-25,17,Q1,ca,0.83,4.308571428571429
1990-04-26,17,Q1,ca,4.23,4.308571428571429
1990-05-01,18,Q1,ca,5.97,4.312857142857143
1990-05-08,19,Q1,ca,5.48,4.292142857142857
1990-05-10,19,Q1,ca,2.51,4.292142857142857
1990-05-15,20,Q1,ca,5.42,4.285
1990-05-22,21,Q1,ca,5.84,4.267142857142857
1990-05-29,22,Q1,ca,5.4,5.225
1990-06-05,23,Q1,ca,5.25,5.267
1990-06-12,24,Q1,ca,5.75,5.624444444444444
